ID,_id,department,lastModified,name,program,record_time,score,start_time,step_correctness,step_video_file,studentID,subject,total
1234567,655ed4970997ef63c2520a18,,2023-11-23T04:29:59.709Z,Chan Tai Man,,,"[{""rating"":""perfect""}]",,,,,Computing Science,
,655efb9d3ab360711d989f1a,,,Chan Tai Man,,,,,,,,Computing Science,
,655efbba1811cead6b22e61e,,,Chan Tai Man,,,,,,,,Computing Science,
,655efbda5ff9e8cdd61445ad,,,Chan Tai Man,,,,,,,,Computing Science,
,655efc1cda7fbc1c08bd02e7,,,Chan Tai Man,,,,,,,,Computing Science,
123,655effb1dead7c4d955c156f,,,Chan Tai Man,,,,,,,,123456,
123,655effe099a8c24db94cb87f,,,Chan Tai Man,,,,,,,,123,
123,655f06b4b03664e9f67db9a8,,,Chan Tai Man,,,,,,,,Computing Science,
,65601bf912be52c4eff17d5e,,,,,,,1700797429116,,,12345678A,,
,65604d60c2736e1dfb69608c,,2023-11-24T07:20:15.649Z,,,,,1700810079834,"[{""step-0"":null},{""step-1"":null},{""step-2"":null},{""step-3"":null},{""step-4"":null},{""step-5"":null},{""step-6"":null},{""step-7"":null},{""step-9"":null},{""step-10"":true},{""step-11"":true}]",,12345678A,,
,66711bc8fd02f933be6ac9a8,SO,,,BA(Hons)AASSM,,,1718688711118,,,22222222h,JS3337,
